iter	Passed	Remaining
542	3275	2756
543	3281	2750
544	3287	2744
545	3294	2739
546	3300	2733
547	3307	2727
548	3313	2721
549	3319	2715
550	3326	2710
551	3332	2704
552	3338	2698
553	3345	2693
554	3351	2687
555	3358	2681
556	3364	2675
557	3370	2670
558	3377	2664
559	3383	2658
560	3390	2652
561	3396	2647
562	3403	2641
563	3409	2635
564	3415	2629
565	3421	2623
566	3428	2618
567	3434	2612
568	3440	2606
569	3447	2600
570	3453	2594
571	3459	2588
572	3465	2582
573	3471	2576
574	3477	2570
575	3484	2564
576	3490	2558
577	3495	2552
578	3502	2546
579	3508	2540
580	3516	2535
581	3522	2529
582	3528	2523
583	3535	2518
584	3542	2512
585	3548	2506
586	3554	2501
587	3561	2495
588	3568	2490
589	3575	2484
590	3582	2479
591	3588	2473
592	3594	2466
593	3601	2461
594	3607	2455
595	3615	2450
596	3621	2444
597	3628	2439
598	3634	2433
599	3641	2427
600	3647	2421
601	3654	2415
602	3661	2410
603	3667	2404
604	3673	2398
605	3679	2392
606	3686	2386
607	3691	2380
608	3699	2374
609	3705	2368
610	3711	2363
611	3717	2357
612	3723	2350
613	3730	2344
614	3736	2338
615	3742	2332
616	3748	2326
617	3753	2319
618	3759	2313
619	3765	2308
620	3771	2301
621	3777	2295
622	3784	2289
623	3790	2283
624	3796	2278
625	3803	2272
626	3809	2266
627	3815	2260
628	3822	2254
629	3828	2248
630	3834	2242
631	3840	2236
632	3846	2230
633	3853	2224
634	3860	2219
635	3866	2213
636	3873	2207
637	3879	2201
638	3885	2195
639	3891	2189
640	3898	2183
641	3904	2177
642	3910	2171
643	3916	2165
644	3922	2159
645	3928	2152
646	3934	2146
647	3940	2140
648	3947	2134
649	3953	2128
650	3959	2122
651	3965	2116
652	3972	2110
653	3978	2104
654	3985	2099
655	3991	2093
656	3998	2087
657	4004	2081
658	4010	2075
659	4016	2069
660	4023	2063
661	4029	2057
662	4035	2051
663	4042	2045
664	4048	2039
665	4054	2033
666	4061	2027
667	4067	2021
668	4073	2015
669	4080	2009
670	4086	2003
671	4093	1997
672	4099	1991
673	4105	1985
674	4112	1979
675	4118	1973
676	4124	1967
677	4131	1962
678	4137	1956
679	4143	1950
680	4150	1944
681	4156	1938
682	4163	1932
683	4169	1926
684	4175	1920
685	4182	1914
686	4188	1908
687	4194	1902
688	4201	1896
689	4207	1890
690	4213	1884
691	4220	1878
692	4226	1872
693	4233	1866
694	4240	1861
695	4247	1855
696	4253	1849
697	4260	1843
698	4267	1837
699	4272	1831
700	4279	1825
701	4286	1819
702	4293	1813
703	4301	1808
704	4307	1802
705	4313	1796
706	4320	1790
707	4326	1784
708	4333	1778
709	4338	1772
710	4344	1766
711	4350	1759
712	4356	1753
713	4361	1746
714	4367	1740
715	4374	1734
716	4381	1729
717	4388	1723
718	4394	1717
719	4401	1711
720	4407	1705
721	4413	1699
722	4419	1693
723	4426	1687
724	4433	1681
725	4440	1675
726	4446	1669
727	4453	1663
728	4460	1658
729	4467	1652
730	4474	1646
731	4481	1640
732	4487	1634
733	4494	1628
734	4501	1622
735	4508	1617
736	4514	1611
737	4522	1605
738	4529	1599
739	4535	1593
740	4542	1587
741	4549	1581
742	4555	1575
743	4562	1569
744	4568	1563
745	4575	1558
746	4583	1552
747	4587	1545
748	4594	1539
749	4600	1533
750	4607	1527
751	4614	1521
752	4620	1515
753	4627	1509
754	4634	1503
755	4640	1497
756	4646	1491
757	4652	1485
758	4659	1479
759	4666	1473
760	4673	1467
761	4680	1461
762	4686	1455
763	4693	1449
764	4700	1443
765	4706	1437
766	4713	1431
767	4720	1425
768	4726	1419
769	4733	1413
770	4739	1407
771	4746	1401
772	4752	1395
773	4759	1389
774	4765	1383
775	4771	1377
776	4778	1371
777	4785	1365
778	4791	1359
779	4798	1353
780	4805	1347
781	4812	1341
782	4819	1335
783	4825	1329
784	4832	1323
785	4837	1317
786	4844	1311
787	4850	1305
788	4857	1299
789	4864	1293
790	4871	1287
791	4878	1281
792	4884	1274
793	4890	1268
794	4896	1262
795	4903	1256
796	4909	1250
797	4916	1244
798	4922	1238
799	4929	1232
800	4935	1226
801	4942	1220
802	4949	1214
803	4956	1208
804	4963	1202
805	4969	1196
806	4975	1190
807	4982	1183
808	4988	1177
809	4994	1171
810	5001	1165
811	5008	1159
812	5014	1153
813	5020	1147
814	5026	1141
815	5033	1134
816	5039	1128
817	5046	1122
818	5053	1116
819	5059	1110
820	5065	1104
821	5072	1098
822	5080	1092
823	5085	1086
824	5091	1079
825	5097	1073
826	5103	1067
827	5110	1061
828	5117	1055
829	5122	1049
830	5130	1043
831	5135	1037
832	5142	1030
833	5148	1024
834	5154	1018
835	5161	1012
836	5168	1006
837	5175	1000
838	5182	994
839	5189	988
840	5196	982
841	5202	976
842	5209	970
843	5216	964
844	5221	957
845	5226	951
846	5231	945
847	5236	938
848	5242	932
849	5246	925
850	5250	919
851	5256	913
852	5261	906
853	5266	900
854	5272	894
855	5278	887
856	5283	881
857	5287	875
858	5293	868
859	5299	862
860	5303	856
861	5309	849
862	5315	843
863	5320	837
864	5325	831
865	5328	824
866	5331	817
867	5333	811
868	5338	804
869	5345	798
870	5350	792
871	5356	786
872	5364	780
873	5371	774
874	5378	768
875	5384	762
876	5391	756
877	5397	749
878	5403	743
879	5410	737
880	5417	731
881	5424	725
882	5430	719
883	5437	713
884	5443	707
885	5450	701
886	5457	695
887	5463	689
888	5470	683
889	5477	676
890	5483	670
891	5490	664
892	5496	658
893	5503	652
894	5509	646
895	5516	640
896	5522	634
897	5529	628
898	5536	622
899	5543	615
900	5550	609
901	5556	603
902	5563	597
903	5569	591
904	5574	585
905	5580	578
906	5586	572
907	5592	566
908	5599	560
909	5605	554
910	5611	548
911	5618	542
912	5625	536
913	5631	529
914	5638	523
915	5644	517
916	5650	511
917	5656	505
918	5663	499
919	5669	493
920	5675	486
921	5682	480
922	5688	474
923	5695	468
924	5701	462
925	5707	456
926	5714	449
927	5720	443
928	5727	437
929	5733	431
930	5739	425
931	5745	419
932	5752	413
933	5758	406
934	5765	400
935	5770	394
936	5776	388
937	5783	382
938	5789	376
939	5795	369
940	5802	363
941	5808	357
942	5814	351
943	5821	345
944	5827	339
945	5833	332
946	5839	326
947	5846	320
948	5852	314
949	5858	308
950	5865	302
951	5871	296
952	5877	289
953	5884	283
954	5890	277
955	5896	271
956	5903	265
957	5909	259
958	5916	252
959	5922	246
960	5929	240
961	5935	234
962	5942	228
963	5948	222
964	5954	215
965	5961	209
966	5967	203
967	5974	197
968	5979	191
969	5986	185
970	5992	178
971	5999	172
972	6006	166
973	6012	160
974	6018	154
975	6024	148
976	6031	141
977	6037	135
978	6043	129
979	6050	123
980	6056	117
981	6062	111
982	6068	104
983	6075	98
984	6081	92
985	6088	86
986	6095	80
987	6101	74
988	6107	67
989	6112	61
990	6119	55
991	6125	49
992	6131	43
993	6138	37
994	6144	30
995	6150	24
996	6157	18
997	6163	12
998	6170	6
999	6176	0
