iter	Logloss
0	0.6728868281
1	0.6531190871
2	0.6369399445
3	0.6199994254
4	0.6045776513
5	0.589703233
6	0.5733871931
7	0.5593504622
8	0.5457676576
9	0.5350019928
10	0.521977575
11	0.5100472541
12	0.5002611056
13	0.4915062228
14	0.4833339517
15	0.474268826
16	0.4647073155
17	0.4569131023
18	0.4502569287
19	0.4430286943
20	0.4369381778
21	0.4313416391
22	0.4247752273
23	0.4194599595
24	0.4145848706
25	0.4088710192
26	0.4029127155
27	0.3969129439
28	0.3918932648
29	0.386353537
30	0.3817292404
31	0.3763700027
32	0.3716480118
33	0.3671755261
34	0.3628892485
35	0.3591675441
36	0.355457972
37	0.351049656
38	0.3477603736
39	0.3445537765
40	0.3421660037
41	0.3391409755
42	0.3365039507
43	0.3341633311
44	0.3310251429
45	0.3284772832
46	0.3262561477
47	0.324079961
48	0.3223589448
49	0.3205977144
50	0.3181553969
51	0.3157997413
52	0.3139056571
53	0.3120376153
54	0.3100567693
55	0.308068842
56	0.3060186986
57	0.30462534
58	0.3029331285
59	0.3012596188
60	0.2995924101
61	0.2976537904
62	0.2959573192
63	0.2944467121
64	0.2927181428
65	0.2915416992
66	0.2903734359
67	0.2892455337
68	0.2875289247
69	0.2861498746
70	0.284781538
71	0.2837625896
72	0.2823524714
73	0.2810232475
74	0.279791407
75	0.2787226754
76	0.2773651607
77	0.2764306519
78	0.275880497
79	0.2746963341
80	0.2737408546
81	0.2731558035
82	0.2722927665
83	0.2712104258
84	0.2705330297
85	0.2692309906
86	0.2680328719
87	0.2673144769
88	0.2666678105
89	0.2659372133
90	0.2652337899
91	0.2644949596
92	0.2636225906
93	0.2627504734
94	0.2620455774
95	0.2611239498
96	0.2605552896
97	0.2597549405
98	0.2590843332
99	0.258474807
100	0.2576706179
101	0.2571421272
102	0.2563939
103	0.2557907854
104	0.255157931
105	0.2544764128
106	0.2540350142
107	0.2534302664
108	0.2527843558
109	0.2521269372
110	0.2517841725
111	0.2512056068
112	0.2506249855
113	0.2501457562
114	0.249554805
115	0.2490288492
116	0.2486402225
117	0.2481724976
118	0.2476677393
119	0.2471571262
120	0.246675633
121	0.2460794947
122	0.2455600652
123	0.2450467291
124	0.2446359335
125	0.2442557156
126	0.2438839882
127	0.2435574629
128	0.2432001238
129	0.2428364837
130	0.2424710667
131	0.2421012565
132	0.2416502928
133	0.2413289554
134	0.2409613627
135	0.240474515
136	0.2400009025
137	0.2397330564
138	0.2394708582
139	0.2391824452
140	0.238918994
141	0.2385328046
142	0.2381632447
143	0.2377912821
144	0.2373260923
145	0.2369726214
146	0.2366573068
147	0.2362159511
148	0.2359193718
149	0.2357380416
150	0.2354613201
151	0.2351527843
152	0.2348520596
153	0.2346101081
154	0.2343613248
155	0.2341358901
156	0.2338102983
157	0.2335430631
158	0.2331253816
159	0.2328944568
160	0.2325530129
161	0.2323031247
162	0.2319439749
163	0.231582562
164	0.2312829475
165	0.2309523763
166	0.2306273957
167	0.230383022
168	0.2300982193
169	0.2297839132
170	0.2295302886
171	0.2292877114
172	0.2289940374
173	0.2287185248
174	0.2284140089
175	0.2280304215
176	0.2276587759
177	0.2273659468
178	0.2270337407
179	0.2267922239
180	0.2264761087
181	0.2260306375
182	0.2257243602
183	0.2254626031
184	0.2250891009
185	0.2249106631
186	0.2247901138
187	0.2245296677
188	0.2243536237
189	0.2241214831
190	0.2239409541
191	0.2237410538
192	0.2235456506
193	0.2233057788
194	0.2230496088
195	0.2228824429
196	0.2227621412
197	0.2225638902
198	0.2222513218
199	0.2220371747
200	0.221779964
201	0.2214789208
202	0.221161572
203	0.2209086924
204	0.2206779315
205	0.2205485115
206	0.2203589145
207	0.2201564201
208	0.2199232046
209	0.2197009379
210	0.2195331507
211	0.2191876926
212	0.2189840632
213	0.2187952039
214	0.2186481215
215	0.2183571642
216	0.2181420062
217	0.2179279237
218	0.2177461691
219	0.2175339839
220	0.2173779194
221	0.2170948496
222	0.2169137984
223	0.216681901
224	0.2164507116
225	0.2162380164
226	0.2160479507
227	0.2158312632
228	0.2155689247
229	0.215311063
230	0.2150661615
231	0.2148865382
232	0.2147215454
233	0.2145614937
234	0.2143253874
235	0.2141040011
236	0.2138956664
237	0.2136307789
238	0.2133185719
239	0.2129305108
240	0.2127669331
241	0.2125788876
242	0.2124007036
243	0.2121954145
244	0.2119433668
245	0.2116769309
246	0.2115134488
247	0.2112182435
248	0.2110462888
249	0.210809891
250	0.2105272345
251	0.2103659999
252	0.2102125112
253	0.210019106
254	0.2098513517
255	0.2096082947
256	0.2095133565
257	0.2093182308
258	0.2090851326
259	0.2089115575
260	0.208755955
261	0.2085765894
262	0.2084158303
263	0.2082342349
264	0.2080317504
265	0.2078169857
266	0.207591507
267	0.2074483621
268	0.2071752667
269	0.2069929865
270	0.2068735232
271	0.2066213142
272	0.2065017055
273	0.2063186616
274	0.2061167066
275	0.2059036037
276	0.2055925397
277	0.2053524086
278	0.2050279345
279	0.2048612959
280	0.2046834256
281	0.2045319138
282	0.2044509126
283	0.204277181
284	0.2041369406
285	0.203987328
286	0.2038372017
287	0.203558264
288	0.2034687779
289	0.2033133607
290	0.2031483849
291	0.2030121927
292	0.2029297086
293	0.2027422284
294	0.2025425317
295	0.2024050706
296	0.2022115415
297	0.2020935397
